"名称","名称かな","所在地","TEL","FAX","URL","備考","郵便番号","施設ID","経度","緯度","分類"
"安佐北消防署白木出張所","あさきたしょうぼうしょしらきしゅっちょうしょ","広島市安佐北区白木町大字市川1533番地5","082-828-0511","082-828-0511","","","739-1411","A002000019","132.657119107993","34.5580112440105","消防署所"
"安佐北消防署高陽出張所","あさきたしょうぼうしょこうようしゅっちょうしょ","広島市安佐北区真亀一丁目3番6号","082-842-3390","082-842-3390","","","739-1741","A002000020","132.521621816032","34.4808144442765","消防署所"
"安佐北消防署安佐出張所","あさきたしょうぼうしょあさしゅっちょうしょ","広島市安佐北区安佐町大字飯室3052番地1","082-835-0153","082-835-0153","","","731-1142","A002000021","132.433573827994","34.5459697873358","消防署所"
"佐伯消防署湯来出張所","さえきしょうぼうしょゆきしゅっちょうしょ","広島市佐伯区湯来町大字和田224番地","0829-40-4119","0829-40-4119","","","738-0601","A002000022","132.27669712097","34.4881151552922","消防署所"
"佐伯消防署海老園出張所","さえきしょうぼうしょかいろうえんしゅっちょうしょ","広島市佐伯区海老園一丁目2番54号","082-921-2238","082-921-2238","","","731-5135","A002000023","132.356089616114","34.3645620472832","消防署所"
"消防局庁舎","しょうぼうきょくちょうしゃ","広島市中区大手町五丁目20番12号","082ｰ246-8211","082ｰ247-1645","","","730-0051","A002000024","132.45231469302","34.380459387796","消防署所"
"東消防署温品出張所","ひがししょうぼうしょぬくしなしゅっちょうしょ","広島市東区温品五丁目3番1号","082-289-2790","082-289-2790","","","732-0033","A002000025","132.50722189194","34.4117579990612","消防署所"
"南消防署水上出張所","みなみしょうぼうしょすいしょうしゅっちょうしょ","広島市南区宇品海岸二丁目23番39号","082-255-6616","082-255-9372","","","734-0011","A002000026","132.463591004106","34.3533704620784","消防署所"
"西消防署己斐出張所","にししょうぼうしょこいしゅっちょうしょ","広島市西区己斐中三丁目14番2号","082-272-0479","082-272-0479","","","733-0813","A002000027","132.422170621028","34.4059791316207","消防署所"
"西消防署庚午出張所","にししょうぼうしょこうごしゅっちょうしょ","広島市西区庚午中四丁目21番19号","082-272-0463","082-272-0463","","","733-0822","A002000028","132.411985869014","34.3820383743905","消防署所"
"西消防署井口出張所","にししょうぼうしょいのくちしゅっちょうしょ","広島市西区商工センター四丁目1番1号","082-277-9100","082-277-9100","","","733-0833","A002000029","132.396219615057","34.3682114479383","消防署所"
"安佐南消防署祇園出張所","あさみなみしょうぼうしょぎおんしゅっちょうしょ","広島市安佐南区祇園二丁目48番11号","082-874-3511","082-874-3511","","","731-0138","A002000030","132.464559196981","34.4386434782527","消防署所"
"安佐北消防署可部出張所","あさきたしょうぼうしょかべしゅっちょうしょ","広島市安佐北区可部七丁目7番16号","082-815-5101","082-815-5101","","","731-0221","A002000031","132.509935678881","34.5222334199849","消防署所"
"安芸消防署瀬野川出張所","あきしょうぼうしょせのがわしゅっちょうしょ","広島市安芸区中野東七丁目14番23号","082-892-0100","082-892-0100","","","739-0323","A002000032","132.585445533979","34.413096022379","消防署所"
"安芸消防署矢野出張所","あきしょうぼうしょやのしゅっちょうしょ","広島市安芸区矢野西二丁目16番1号","082-884-2340","082-884-2340","","","736-0085","A002000033","132.521581008001","34.3529364115007","消防署所"
"佐伯消防署八幡出張所","さえきしょうぼうしょやはたしゅっちょうしょ","広島市佐伯区利松一丁目5番24号","082-928-0239","082-928-0239","","","731-5106","A002000034","132.363381374017","34.3979244962526","消防署所"
"中消防署白島出張所","なかしょうぼうしょはくしましゅっちょうしょ","広島市中区白島九軒町12番20号","082ｰ223-3107","082ｰ223-3107","","","730-0003","A002000035","132.466426869918","34.407631207987","消防署所"
"東消防署福田出張所","ひがししょうぼうしょふくだしゅっちょうしょ","広島市東区福田七丁目2番10号","082-899-5719","082-899-5719","","","732-0029","A002000036","132.548637837023","34.4555148922501","消防署所"
"南消防署東本浦出張所","みなみしょうぼうしょひがしほんうらしゅっちょうしょ","広島市南区東本浦町23番6号","082-285-6090","082-285-6090","","","734-0025","A002000037","132.492828079084","34.3750179674096","消防署所"
"西消防署・救急教育センタ-","にししょうぼうしょ・きゅうきゅうきょういくせんたー","広島市西区都町43番10号","082-232-0381","082-232-3293","","","733-0023","A002000038","132.436583943902","34.3947002096639","消防署所"
"安芸消防署","あきしょうぼうしょ","安芸郡海田町堀川町3番12号","082-822-4349","082-822-9119","","","736-0045","A002000039","132.532095746985","34.3678561192778","消防署所"
"安芸消防署熊野出張所","あきしょうぼうしょくまのしゅっちょうしょ","安芸郡熊野町萩原六丁目26番8号","082-854-1103","082-854-1103","","","731-4213","A002000040","132.590097933041","34.3417492048957","消防署所"
"安佐北消防署安芸太田出張所","あさきたしょうぼうしょあきおおたしゅっちょうしょ","山県郡安芸太田町大字中筒賀345番地2","0826-32-2011","0826-32-2011","","","731-3702","A002000041","132.266967685041","34.571593436417","消防署所"
"安芸消防署坂出張所","あきしょうぼうしょさかしゅっちょうしょ","安芸郡坂町横浜中央一丁目1番11号","082-885-0100","082-885-0100","","","731-4323","A002000042","132.507375302933","34.3374041546082","消防署所"
"佐伯消防署石内出張所","さえきしょうぼうしょいしうちしゅっちょうしょ","佐伯区石内北五丁目5番1号","082-941-1112","082-941-1112","","","731-5109","A002000043","132.376136098994","34.4379000281597","消防署所"
